424,930,452,930,450,958,424,957,Rp
437,959,464,959,466,988,438,987,Rp
439,988,470,990,469,1016,438,1019,Rp
432,1049,464,1049,464,1078,432,1078,Rp
424,1112,456,1112,457,1147,425,1148,Rp
440,1149,469,1152,469,1184,440,1184,Rp
182,504,236,503,236,527,182,527,Jamur
242,502,309,505,306,532,241,530,Crispy
179,555,192,555,193,582,179,581,2
243,560,305,558,305,583,243,584,13.500
442,560,507,559,506,583,442,584,27.000
178,614,224,614,224,638,178,638,Nasi
232,614,288,614,288,640,232,640,Putih
180,664,192,666,190,694,178,692,2
243,664,296,664,296,694,242,691,7.000
444,667,508,668,507,691,444,691,14.000
178,719,242,720,242,745,177,746,Sambel
248,720,308,721,307,747,248,744,Kecap
176,776,190,776,190,802,176,800,2
242,777,294,777,294,800,242,800,4.500
456,776,511,776,511,800,456,800,9.000
178,832,203,832,201,850,177,850,Es
208,832,245,832,245,850,207,850,Teh
168,876,185,876,184,901,167,899,2
242,876,296,876,296,896,242,896,7.500
454,878,520,880,520,900,455,900,15.000
168,928,262,928,261,955,165,954,Subtotal
457,930,529,930,530,955,455,956,65.000
165,959,202,958,201,985,165,986,PB1
202,958,216,957,216,988,201,986,(
214,958,259,957,260,986,214,986,10%)
473,960,534,960,534,987,473,987,6.500
162,989,190,990,191,1016,163,1016,SC
189,988,236,988,235,1018,190,1019,(3%)
475,989,536,988,539,1012,479,1014,1.950
159,1050,223,1049,223,1077,160,1078,Total
468,1047,543,1048,544,1074,470,1074,73.450
154,1115,208,1115,210,1146,152,1145,Cash
465,1113,550,1113,550,1144,465,1144,100.000
152,1152,232,1152,232,1184,152,1184,Change
477,1150,553,1149,553,1178,477,1178,26.550
