141,633,153,633,153,667,141,667,1
171,626,317,628,317,674,166,672,Dumpling
606,628,700,628,700,666,606,666,9.000
138,676,150,674,151,709,138,709,1
170,677,261,677,258,713,170,713,Jamur
274,673,387,672,386,714,272,713,Kuping
606,672,701,668,703,708,607,709,8.000
136,719,150,717,149,753,136,754,1
167,716,279,716,278,756,164,757,Caisim
291,716,379,713,380,756,291,753,Kecil
608,713,701,713,704,751,611,752,7.000
129,763,152,763,152,799,129,799,2
168,760,330,760,330,803,168,803,Lapchiong
593,806,705,806,705,845,593,845,24.000
203,806,296,806,296,845,203,845,12000
126,853,148,852,146,891,126,891,2
160,852,328,849,328,893,157,891,Otak-otak
343,849,507,849,509,897,341,898,Singapore
593,897,712,895,717,939,597,940,22.000
198,897,293,895,292,938,198,941,11000
123,948,142,944,143,990,126,989,1
160,947,257,945,255,989,160,988,Bihun
269,944,359,943,361,992,269,994,(MLY)
614,947,709,947,709,986,614,986,8.000
123,1040,266,1040,266,1080,123,1080,Subtotal
600,1039,711,1039,711,1079,600,1079,78.000
124,1083,217,1085,218,1123,125,1125,TOTAL
597,1084,711,1086,711,1132,600,1132,78.000
124,1175,238,1176,233,1218,124,1217,Go-Pay
249,1177,366,1176,368,1218,251,1216,static
380,1175,418,1176,420,1215,376,1217,QR
600,1177,716,1177,716,1218,600,1218,78.000
