28,572,46,572,46,606,28,606,1
60,572,134,572,134,608,60,608,Nasi
148,573,258,578,257,612,146,607,Goreng
650,574,760,574,760,610,650,610,29.091
32,614,50,614,50,646,32,646,1
64,614,136,614,136,648,64,648,Nasi
150,615,259,620,257,654,148,649,Goreng
270,616,342,616,342,652,270,652,Ayam
650,616,760,616,760,652,650,652,23,636
60,697,201,697,201,733,60,733,Subtotal
652,702,760,702,760,740,652,740,52.727
60,740,100,740,100,776,60,776,PB
114,742,134,742,134,776,114,776,1
668,746,762,746,762,784,668,784,5.273
58,781,234,784,233,853,57,851,Total
544,788,766,788,766,860,544,860,58.000
72,964,168,964,168,1026,72,1026,DEBIT
176,974,196,974,196,1024,176,1024,1
644,982,762,982,762,1052,644,1052,58.000
0,786,34,786,34,844,0,844,2
