172,713,243,714,241,749,169,752,Se'i
251,713,325,715,321,757,249,754,Sapi
332,714,432,714,432,753,332,752,Sambal
444,714,532,715,531,756,443,755,Lu'at
539,713,589,714,591,759,540,756,(R)
635,719,650,719,650,753,635,753,1
820,719,926,718,925,755,822,759,20.000
170,751,261,751,260,792,166,794,Lidah
271,754,341,754,339,795,268,794,Asap
346,752,449,752,449,793,346,791,Sambal
458,753,544,753,544,794,459,792,Lu'at
556,754,576,754,577,799,554,797,(
585,757,606,756,607,793,583,794,R
616,753,636,755,635,796,614,799,)
683,757,698,758,698,791,683,792,1
821,757,925,757,927,795,819,796,30.000
171,791,241,791,241,830,168,832,Nasi
250,790,342,791,342,832,247,831,Putih
382,793,402,793,402,830,379,830,2
826,797,925,796,925,836,824,836,10.000
171,832,223,833,225,872,166,871,Jus
236,831,322,831,322,871,233,872,Jeruk
368,835,380,833,381,867,367,868,1
825,835,924,836,926,874,826,877,12.000
166,910,304,910,304,948,166,953,Subtotal
821,914,928,917,928,956,821,955,72.000
166,954,207,953,204,991,163,993,PB
219,954,234,954,234,987,219,989,1
252,947,336,948,337,994,248,998,(10%)
838,956,928,956,930,996,838,995,7.200
163,1032,253,1030,255,1068,161,1075,Total
821,1034,929,1034,932,1078,824,1077,79.200
162,1117,249,1114,251,1155,159,1156,Tunai
810,1117,930,1116,930,1157,810,1157,100.000
156,1159,280,1154,281,1192,157,1199,Kembali
824,1158,932,1159,931,1200,821,1199,20.800
