19,78,37,78,38,90,17,89,A1.
40,75,65,76,66,88,38,88,Sate
66,73,93,73,93,89,65,89,Babi
94,75,126,78,127,92,93,90,Manis
16,91,26,91,27,101,16,100,2
37,90,69,90,69,102,36,102,3.000
171,75,202,72,204,88,171,89,6.000
16,110,37,111,37,123,16,123,A2.
39,108,66,110,66,123,38,122,Sate
66,110,93,111,93,128,66,126,Babi
94,112,131,112,132,128,93,127,Bumbu
134,112,156,111,155,125,134,125,Bali
16,123,27,123,27,138,16,137,2
37,124,67,124,68,139,37,139,4.000
173,112,204,112,204,130,172,129,8.000
17,149,36,149,37,163,16,163,A2.
38,149,90,150,92,166,38,166,Lapolong
16,165,24,165,25,180,16,180,1
35,166,72,166,71,182,36,182,4.000
172,150,203,152,203,165,173,164,4.000
16,194,36,194,38,206,15,206,A2.
36,191,66,190,67,208,36,208,Sate
66,192,92,193,93,208,66,208,Babi
93,192,122,193,123,210,92,209,Cabe
122,193,136,193,137,212,122,212,Ijo
16,209,24,209,25,223,16,222,1
36,209,70,209,70,224,36,224,4.000
172,192,203,191,203,205,172,205,4.000
16,236,37,236,37,251,16,251,A1.
36,236,65,236,66,251,37,251,Paru
66,239,92,239,92,252,66,252,Babi
16,254,25,254,24,267,17,266,1
36,253,67,253,67,267,35,266,3.000
168,232,199,233,200,248,168,248,3.000
16,280,36,280,37,293,15,293,A2.
38,280,88,280,88,295,38,295,Ngohiong
16,295,25,295,25,310,16,310,1
36,295,66,295,66,308,36,308,4.000
167,274,196,274,197,290,167,291,4.000
16,320,36,320,37,333,16,333,A4.
35,319,52,318,53,333,36,333,Es
52,320,73,320,74,333,52,332,Teh
72,319,105,318,106,332,73,332,Manis
16,335,24,334,25,346,17,347,1
36,334,67,334,66,348,35,347,5.000
165,312,196,312,196,328,165,328,5.000
16,361,59,361,59,377,16,377,Total
144,358,193,356,193,374,143,376,34.000
19,390,49,388,49,400,19,402,Cash
153,384,194,383,195,398,153,399,34.000
